Star Wars,The Empire Strikes Back,Return of the Jedi,Indiana Jones and the Last Crusade,Raiders of the Lost Ark,The Fugitive
1,0,1,0,0,0
0,0,0,0,1,1
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,0,1,0,1,1
1,1,0,0,1,1
0,0,0,1,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,0,1,0,0,0
1,1,0,1,1,0
1,0,1,0,0,0
1,0,1,0,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
1,0,1,0,0,0
1,1,1,1,1,1
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,1,0,1,0,0
1,1,1,0,1,1
1,0,1,0,0,0
1,1,1,1,1,0
0,1,0,1,1,1
1,1,1,1,1,0
1,0,0,0,0,0
1,1,1,0,1,0
0,0,0,0,0,0
1,0,0,0,0,0
1,1,0,0,1,1
1,1,1,1,1,1
0,0,0,0,0,0
1,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,0,0
1,1,1,0,1,0
1,1,1,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,0,1,0
0,0,0,0,0,0
1,0,1,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,1
1,1,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,0,0,0,1,1
0,0,0,0,0,0
1,0,1,0,1,1
0,0,0,0,0,0
0,0,1,0,0,0
0,0,1,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,0,0,0
1,1,1,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,1,0,0
1,1,0,0,0,0
1,0,1,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
1,1,1,0,0,0
0,0,0,1,0,0
1,1,1,1,1,1
1,0,1,0,0,0
0,0,0,0,0,1
0,0,0,1,0,0
1,0,1,1,1,1
1,1,1,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,1,1
1,1,1,1,1,1
0,0,1,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,0,0,0
1,1,0,1,1,1
1,1,0,0,1,1
0,1,0,0,0,0
1,0,1,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,1,1,1
0,0,0,0,0,0
1,0,1,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,1,1,0
1,1,1,1,1,1
0,0,0,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,0,1,0,0,0
1,1,1,0,0,0
1,0,0,0,1,0
1,1,1,1,1,1
1,0,1,0,1,1
1,1,1,0,1,1
0,0,0,0,1,0
0,0,1,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,0,1,0
1,0,1,1,0,0
1,1,1,1,1,0
1,0,1,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,0,1,0,1,0
1,1,1,1,0,1
0,0,0,0,0,0
1,0,0,1,0,1
1,1,1,1,1,0
0,0,0,0,0,0
1,1,1,1,1,1
1,0,1,0,0,0
0,0,0,0,0,0
0,1,1,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,1,1,0
1,0,1,1,1,1
0,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,0
1,1,1,1,1,1
1,1,0,0,0,0
1,0,1,0,0,1
1,1,1,1,1,1
1,1,0,1,1,1
0,0,0,0,0,0
1,0,1,0,0,0
1,0,1,1,1,0
1,1,1,1,1,1
1,0,1,0,0,0
0,0,0,0,0,0
1,0,1,1,1,1
1,1,1,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,0
1,0,1,0,0,0
1,0,0,1,1,0
0,0,0,0,0,0
1,1,1,1,1,0
1,1,1,1,1,1
1,0,1,0,1,1
1,1,1,1,1,1
1,0,1,0,0,1
1,1,1,1,1,1
1,1,1,1,0,1
1,0,1,1,1,1
1,1,1,1,1,1
1,0,1,1,1,0
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,1,1,0,1,0
1,1,1,1,1,1
0,0,0,0,0,0
1,0,1,0,0,0
1,1,1,1,1,1
1,1,1,0,1,0
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,1,0
0,0,0,0,0,0
1,1,0,1,1,1
1,0,0,0,1,0
1,0,0,0,0,0
1,1,1,1,0,1
1,0,0,0,0,0
1,1,1,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,0,1,0,1,1
1,1,1,1,1,0
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,1,1
1,1,1,1,1,1
0,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
0,0,0,0,1,1
1,0,1,0,1,1
1,1,1,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,0
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,0,1,1,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,1,0,0,0
1,1,1,1,1,1
1,0,0,0,0,1
0,0,0,0,0,0
1,1,1,1,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,0,1,0,0,0
1,1,1,0,0,0
1,1,1,1,1,0
1,0,1,1,1,1
0,0,0,0,0,1
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
1,0,1,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,1,1,0,1,1
0,0,1,0,0,0
1,0,0,0,1,0
1,1,1,0,1,0
1,1,1,1,0,1
1,1,1,1,1,1
1,1,1,1,1,0
0,0,0,0,0,0
1,1,1,1,1,0
1,1,1,0,1,1
1,1,1,1,1,1
0,0,0,0,0,0
0,1,1,1,1,0
1,0,1,0,0,0
1,0,1,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,0
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,1,1,1,1,1
0,1,0,0,1,0
1,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,0,0,0
1,0,1,0,1,1
0,0,0,0,0,0
1,1,0,0,1,1
1,0,1,0,0,0
0,0,0,0,0,0
1,1,0,0,0,0
1,1,1,1,1,1
1,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,0,1,0,0,0
0,0,0,0,0,0
1,0,1,0,0,0
1,0,0,0,1,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,0,0,1,0
1,1,1,1,1,1
1,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,1,1,1
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,1
0,0,0,0,0,0
1,0,1,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,0,1,1,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,0,1,1
1,1,1,0,1,1
0,0,0,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
1,0,1,0,0,0
1,1,1,0,1,0
1,1,1,1,1,1
1,0,1,0,0,0
1,1,1,0,1,0
0,0,0,0,0,0
1,0,1,0,0,0
1,1,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,1,1,1,1,1
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
1,0,0,0,0,1
1,1,1,1,1,1
1,1,0,0,1,1
1,0,1,1,0,0
1,0,0,0,0,0
1,0,1,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,0,1,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,0,0,0
1,0,1,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
1,1,1,1,1,1
1,0,1,0,1,0
1,1,1,1,1,1
1,1,1,0,1,0
1,1,1,1,1,1
1,1,0,0,1,1
1,0,1,1,1,0
1,0,1,1,0,0
0,0,1,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,0,1,1,1,0
1,1,1,1,1,1
1,1,1,1,1,1
1,0,1,0,0,0
1,1,1,1,1,0
1,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,0,1,1,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,0,1,0,0,0
1,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,1
1,0,1,1,0,0
1,1,1,1,1,1
0,0,1,0,0,0
1,0,1,0,0,0
1,1,1,1,1,0
1,0,1,1,1,1
0,0,0,0,0,0
1,1,1,0,1,0
0,0,0,0,0,0
0,0,1,1,0,1
1,1,1,1,1,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,0,1,1,1
1,1,1,1,1,1
1,0,0,0,0,0
1,0,1,0,0,0
1,1,1,1,1,1
1,1,1,1,0,0
0,0,0,1,1,1
0,0,0,0,0,0
1,1,1,1,1,1
1,0,1,0,0,0
0,0,0,0,0,0
1,0,1,0,0,1
1,0,1,0,0,0
1,0,1,0,0,0
0,0,0,1,1,1
1,0,1,0,0,0
1,0,1,0,1,0
1,1,1,0,1,1
1,0,1,0,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,1,0
1,0,1,0,0,0
1,0,1,1,1,1
1,0,1,0,1,1
1,1,1,1,0,0
1,0,1,0,0,0
0,0,0,0,0,0
0,1,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,0,0
0,0,1,0,1,0
0,0,0,0,0,0
1,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,1
1,0,1,1,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,0,0,1,0,0
1,0,1,0,0,0
1,0,1,0,0,0
1,0,1,0,0,0
0,0,0,0,0,0
1,1,1,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,1,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,0,1,0,0,0
1,0,1,0,0,0
1,0,1,0,0,0
1,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,0
1,0,1,0,0,0
1,1,1,1,1,0
0,0,0,0,0,0
0,0,0,1,1,1
1,1,1,1,1,1
0,0,0,0,1,0
0,0,0,0,1,1
0,0,0,0,0,0
1,1,0,1,0,1
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,0,1,0,1,1
1,1,1,0,1,0
1,1,1,0,1,1
1,1,1,1,1,1
1,0,1,1,0,1
1,0,1,0,0,0
1,1,1,1,1,0
0,0,0,0,0,0
0,1,0,1,1,1
0,0,0,0,0,0
1,1,0,1,1,0
1,1,1,0,1,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,0,0,0,1
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,1,0,0,0
1,1,1,1,1,0
0,0,0,1,1,0
0,0,0,1,1,1
1,0,0,0,0,0
1,1,1,1,1,0
1,1,1,1,1,1
1,0,1,0,0,0
1,1,1,0,1,0
0,0,0,0,0,0
0,0,0,0,1,1
1,1,1,1,1,1
1,0,1,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,0,1,0,0,0
1,1,1,1,1,1
1,1,1,1,1,0
1,1,1,1,1,1
1,0,0,0,0,0
1,0,1,1,1,0
1,1,0,1,1,1
1,1,1,1,0,1
1,1,0,0,1,1
0,0,0,1,0,1
1,0,0,1,0,0
1,1,1,0,1,0
0,0,0,0,1,0
1,1,1,1,1,0
1,0,1,0,0,0
0,0,0,0,0,1
1,0,1,0,0,0
0,0,0,0,0,0
1,1,1,0,1,0
0,0,0,0,0,0
1,0,1,0,0,0
1,1,1,0,1,0
1,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,1,1,1,0,0
0,0,0,0,0,0
1,1,1,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,0,1,0,0,0
0,0,0,1,1,1
1,0,0,0,0,1
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,1,0,0,0
1,1,1,1,1,0
1,0,1,0,0,0
1,0,1,0,1,1
1,0,0,0,0,0
0,0,0,0,0,0
1,0,1,0,0,0
1,0,0,1,0,0
1,1,1,1,1,1
1,0,1,0,0,0
0,0,0,0,0,0
1,0,1,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,0,0,1
1,1,1,1,1,1
0,0,0,0,0,0
1,0,1,0,0,0
1,1,1,0,1,1
1,1,1,1,1,1
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
1,1,1,0,1,0
0,0,0,0,0,0
1,1,0,0,1,0
0,0,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,1,1,0
1,0,1,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,0,0,0,1
0,0,0,0,0,0
1,1,1,1,1,1
1,0,1,0,0,0
0,0,1,0,0,0
1,0,0,0,1,0
0,0,0,0,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,1,1,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,0,1,1,0,1
1,1,1,1,1,1
1,1,1,1,1,1
1,0,1,0,0,0
1,1,1,0,0,0
1,0,1,0,0,0
0,0,0,0,0,0
1,0,0,1,1,1
1,0,0,0,1,0
0,0,0,0,0,0
1,1,1,0,1,0
0,1,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,0,1,0,0,0
1,1,1,0,0,0
0,0,0,0,0,0
1,1,1,0,1,0
1,1,1,0,1,0
0,0,0,0,0,0
1,0,1,0,1,0
0,0,0,0,0,0
0,0,0,0,1,1
1,0,1,0,0,0
1,1,0,1,1,1
1,1,1,1,1,0
1,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,1,1
1,1,1,1,1,0
0,0,0,0,0,0
0,1,0,0,0,1
1,0,1,0,0,0
1,1,1,1,1,1
1,0,1,0,0,0
0,0,0,0,0,0
1,0,1,0,0,0
1,0,1,0,0,0
1,1,1,1,1,0
1,1,1,1,1,1
1,0,1,0,0,0
1,1,1,1,1,1
1,0,0,0,1,0
1,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,0,1,1,1
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,0,1,1
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,0,1,0,1,0
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,0,1,1,1,0
1,0,1,0,0,0
0,0,0,0,0,1
1,0,1,0,0,0
1,0,0,1,1,0
0,0,0,1,1,0
0,0,1,0,0,0
1,1,1,1,1,0
1,0,1,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,0
1,1,1,1,1,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,0
0,1,0,0,1,0
1,1,1,1,1,1
1,1,0,0,1,1
1,0,1,0,0,0
0,0,0,0,0,0
1,0,0,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,0
1,0,1,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,0,1,0
0,0,0,0,1,0
0,0,0,0,0,1
1,1,1,0,1,0
1,0,1,0,0,0
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,1,1,1
1,1,0,1,1,1
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,1,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,0
1,0,1,0,0,0
1,1,1,1,1,1
1,1,0,0,0,0
1,0,0,0,0,0
1,0,1,0,0,0
1,1,1,1,1,1
1,1,1,1,1,1
0,0,0,0,0,0
1,1,1,0,1,1
0,0,0,0,0,0
1,1,1,1,1,0
1,1,1,0,0,1
1,0,1,1,0,1
0,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,0,0,1
1,1,1,0,1,1
0,0,0,0,0,0
1,0,0,1,1,0
0,1,0,1,1,0
0,1,0,0,1,0
1,1,1,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,1
1,0,0,0,0,0
0,0,0,0,1,0
1,0,1,0,1,0
0,0,0,0,0,0
1,1,1,1,1,1
1,1,1,1,1,0
1,0,1,0,1,0
1,1,1,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,1,1
0,1,0,0,0,0
1,1,0,0,1,0
0,0,0,0,1,0
1,0,1,0,0,0
0,1,0,1,1,0
1,0,0,1,1,1
1,1,1,1,1,0
0,0,1,0,0,0
1,0,1,0,0,0
1,0,0,0,0,0
1,0,1,0,0,0
0,0,0,0,0,0
1,1,1,0,1,0
0,0,1,0,0,0
1,1,0,1,1,1
1,1,1,1,1,1
